graduation_year,unit_code,leaname,schname,status,subgroup,subgroup_name,schcount,leacount,seacount,sch_percent_enrolled,lea_percent_enrolled,sea_percent_enrolled
2015,010303,Alamance-Burlington Schools,Alamance-Burlington Middle/Early College,ENROLL,ALL,All Students (Total or Subtotal,28.0,812.0,51362.0,65.1162790697674,53.953488372093,51.988460954501704
2015,010324,Alamance-Burlington Schools,Eastern Alamance High,ENROLL,ALL,All Students (Total or Subtotal,144.0,812.0,51362.0,56.4705882352941,53.953488372093,51.988460954501704
2015,010348,Alamance-Burlington Schools,Graham High,ENROLL,ALL,All Students (Total or Subtotal,76.0,812.0,51362.0,40.8602150537634,53.953488372093,51.988460954501704
2015,010360,Alamance-Burlington Schools,Hugh M Cummings High,ENROLL,ALL,All Students (Total or Subtotal,75.0,812.0,51362.0,40.322580645161295,53.953488372093,51.988460954501704
2015,010388,Alamance-Burlington Schools,Southern High,ENROLL,ALL,All Students (Total or Subtotal,172.0,812.0,51362.0,58.9041095890411,53.953488372093,51.988460954501704
2015,010396,Alamance-Burlington Schools,Walter M Williams High,ENROLL,ALL,All Students (Total or Subtotal,153.0,812.0,51362.0,56.25,53.953488372093,51.988460954501704
2015,010400,Alamance-Burlington Schools,Western Alamance High,ENROLL,ALL,All Students (Total or Subtotal,164.0,812.0,51362.0,60.516605166051704,53.953488372093,51.988460954501704
2015,020302,Alexander County Schools,Alexander Central High,ENROLL,ALL,All Students (Total or Subtotal,180.0,180.0,51362.0,47.4934036939314,47.4934036939314,51.988460954501704
2015,030304,Alleghany County Schools,Alleghany High,ENROLL,ALL,All Students (Total or Subtotal,37.0,37.0,51362.0,41.1111111111111,41.1111111111111,51.988460954501704
2015,040304,Anson County Schools,Anson Co. Early College High,ENROLL,ALL,All Students (Total or Subtotal,15.0,98.0,51362.0,53.571428571428605,43.5555555555556,51.988460954501704
2015,040305,Anson County Schools,Anson Academy,ENROLL,ALL,All Students (Total or Subtotal,,98.0,51362.0,11.1111111111111,43.5555555555556,51.988460954501704
2015,040306,Anson County Schools,Anson High School,ENROLL,ALL,All Students (Total or Subtotal,64.0,98.0,51362.0,42.3841059602649,43.5555555555556,51.988460954501704
2015,040700,Anson County Schools,Anson New Tech High,ENROLL,ALL,All Students (Total or Subtotal,17.0,98.0,51362.0,60.71428571428571,43.5555555555556,51.988460954501704
2015,050302,Ashe County Schools,Ashe County High,ENROLL,ALL,All Students (Total or Subtotal,115.0,115.0,51362.0,57.788944723618094,57.788944723618094,51.988460954501704
