unit_code,category_cd,School_Name,Lea_Name,flicensed_teach_pct,tchyrs_0thru3_pct,tchyrs_4thru10_pct,tchyrs_11plus_pct,class_teach_num,nbpts_num,advance_dgr_pct,_1yr_tchr_trnovr_pct,lateral_teach_pct,lea_flicensed_teach_pct,lea_tchyrs_0thru3_pct,lea_tchyrs_4thru10_pct,lea_tchyrs_11plus_pct,lea_class_teach_num,lea_nbpts_num,lea_advance_dgr_pct,lea_1yr_tchr_trnovr_pct,lea_lateral_teach_pct,st_flicensed_teach_pct,st_tchyrs_0thru3_pct,st_tchyrs_4thru10_pct,st_tchyrs_11plus_pct,st_class_teach_num,st_nbpts_num,st_advance_dgr_pct,st_1yr_tchr_trnovr_pct,st_emer_prov_teach_pct,st_lateral_teach_pct
010303,H,Alamance-Burlington Middle/Early College,Alamance-Burlington Schools,1.0,0.0,0.125,0.875,8.0,1.0,0.125,0.0,,0.922,0.21100000000000002,0.23199999999999998,0.556,53.0,5.0,0.22699999999999998,0.141,0.073,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094
010311,H,Career Technical Education Center,Alamance-Burlington Schools,0.857,0.0,0.14300000000000002,0.857,14.0,2.0,0.071,0.133,0.14300000000000002,0.922,0.21100000000000002,0.23199999999999998,0.556,53.0,5.0,0.22699999999999998,0.141,0.073,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094
010324,H,Eastern Alamance High,Alamance-Burlington Schools,0.925,0.19399999999999998,0.32799999999999996,0.478,67.0,13.0,0.179,0.036000000000000004,0.06,0.922,0.21100000000000002,0.23199999999999998,0.556,53.0,5.0,0.22699999999999998,0.141,0.073,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094
010348,H,Graham High,Alamance-Burlington Schools,0.833,0.33299999999999996,0.185,0.48100000000000004,54.0,2.0,0.16699999999999998,0.28,0.16699999999999998,0.922,0.21100000000000002,0.23199999999999998,0.556,53.0,5.0,0.22699999999999998,0.141,0.073,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094
010360,H,Hugh M Cummings High,Alamance-Burlington Schools,0.848,0.258,0.258,0.485,66.0,4.0,0.26899999999999996,0.106,0.152,0.922,0.21100000000000002,0.23199999999999998,0.556,53.0,5.0,0.22699999999999998,0.141,0.073,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094
010378,A,Ray Street Academy,Alamance-Burlington Schools,0.8,0.4,0.15,0.45,20.0,5.0,0.25,0.182,0.2,0.8,0.4,0.15,0.45,20.0,5.0,0.25,0.182,0.2,0.7809999999999999,0.195,0.251,0.555,40.0,2.0,0.305,0.13,0.002,0.057999999999999996
010388,H,Southern High,Alamance-Burlington Schools,0.9520000000000001,0.226,0.214,0.56,84.0,7.0,0.214,0.153,0.036000000000000004,0.922,0.21100000000000002,0.23199999999999998,0.556,53.0,5.0,0.22699999999999998,0.141,0.073,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094
010396,H,Walter M Williams High,Alamance-Burlington Schools,0.968,0.19,0.222,0.5870000000000001,63.0,6.0,0.413,0.171,0.032,0.922,0.21100000000000002,0.23199999999999998,0.556,53.0,5.0,0.22699999999999998,0.141,0.073,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094
010400,H,Western Alamance High,Alamance-Burlington Schools,0.986,0.157,0.214,0.629,70.0,6.0,0.171,0.133,0.013999999999999999,0.922,0.21100000000000002,0.23199999999999998,0.556,53.0,5.0,0.22699999999999998,0.141,0.073,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094
020302,H,Alexander Central High,Alexander County Schools,0.9470000000000001,0.126,0.253,0.621,95.0,22.0,0.253,0.09300000000000001,0.042,0.9490000000000001,0.121,0.242,0.636,50.0,12.0,0.253,0.09300000000000001,0.040999999999999995,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094
020303,H,Alexander Early College,Alexander County Schools,1.0,0.0,0.0,1.0,4.0,1.0,0.25,,,0.9490000000000001,0.121,0.242,0.636,50.0,12.0,0.253,0.09300000000000001,0.040999999999999995,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094
030304,H,Alleghany High,Alleghany County Schools,0.973,0.135,0.21600000000000003,0.649,37.0,7.0,0.37799999999999995,0.11,0.027000000000000003,0.973,0.135,0.21600000000000003,0.649,37.0,7.0,0.37799999999999995,0.10800000000000001,0.027000000000000003,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094
040304,H,Anson Co. Early College High,Anson County Schools,0.7390000000000001,0.33299999999999996,0.16699999999999998,0.5,12.0,2.0,0.16699999999999998,0.263,0.261,0.708,0.4,0.138,0.462,22.0,2.0,0.077,0.313,0.292,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094
040305,T,Anson Academy,Anson County Schools,0.55,0.5710000000000001,0.14300000000000002,0.28600000000000003,7.0,0.0,0.28600000000000003,0.503,0.45,0.552,0.5710000000000001,0.14300000000000002,0.28600000000000003,7.0,0.0,0.28600000000000003,0.5,0.44799999999999995,0.852,0.215,0.237,0.5479999999999999,24.0,2.0,0.312,0.16699999999999998,0.004,0.10099999999999999
040306,H,Anson High School,Anson County Schools,0.763,0.37,0.152,0.478,46.0,3.0,0.065,0.311,0.237,0.708,0.4,0.138,0.462,22.0,2.0,0.077,0.313,0.292,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094
040700,H,Anson New Tech High,Anson County Schools,0.302,0.7140000000000001,0.0,0.28600000000000003,7.0,0.0,0.0,0.324,0.698,0.708,0.4,0.138,0.462,22.0,2.0,0.077,0.313,0.292,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094
